Array Size (kB),Average Time Access (ns)
1.00,3.24
2.00,3.15
3.00,3.11
4.00,3.11
5.00,3.29
6.00,3.21
7.00,3.18
8.00,3.16
9.00,3.18
10.00,3.17
11.00,3.12
12.00,3.12
13.00,3.11
14.00,3.11
15.00,3.10
16.00,3.10
17.00,3.12
18.00,3.19
19.00,3.22
20.00,3.14
21.00,3.19
22.00,3.17
23.00,3.22
24.00,3.04
25.00,3.02
26.00,3.01
27.00,3.01
28.00,3.01
29.00,3.01
30.00,3.01
31.00,3.01
32.00,3.01
33.00,3.04
34.00,3.06
35.00,3.09
36.00,3.08
37.00,3.10
38.00,3.11
39.00,3.13
40.00,3.14
41.00,3.14
42.00,3.17
43.00,3.16
44.00,3.16
45.00,3.16
46.00,3.16
47.00,3.16
48.00,3.16
49.00,3.16
50.00,3.16
51.00,3.15
52.00,3.15
53.00,3.15
54.00,3.15
55.00,3.15
56.00,3.14
57.00,3.15
58.00,3.16
59.00,3.16
60.00,3.16
61.00,3.16
62.00,3.15
63.00,3.15
64.00,3.15
Dummy output to prevent complier optimization: -2027084416
