Array Size (kB),Average Time Access (ns)
1.00,2.81
2.00,2.85
3.00,2.88
4.00,2.90
5.00,3.07
6.00,3.05
7.00,3.12
8.00,3.07
9.00,3.05
10.00,3.14
11.00,3.03
12.00,3.03
13.00,3.01
14.00,3.11
15.00,3.15
16.00,3.11
17.00,3.00
18.00,3.02
19.00,3.09
20.00,3.01
21.00,3.02
22.00,3.01
23.00,3.02
24.00,3.02
25.00,2.99
26.00,3.00
27.00,3.02
28.00,3.04
29.00,3.01
30.00,3.00
31.00,3.05
32.00,3.04
33.00,3.04
34.00,3.09
35.00,3.10
36.00,3.07
37.00,3.11
38.00,3.09
39.00,3.15
40.00,3.13
41.00,3.15
42.00,3.14
43.00,3.17
44.00,3.15
45.00,3.12
46.00,3.13
47.00,3.13
48.00,3.18
49.00,3.12
50.00,3.13
51.00,3.19
52.00,3.13
53.00,3.13
54.00,3.16
55.00,3.13
56.00,3.14
57.00,3.14
58.00,3.12
59.00,3.13
60.00,3.12
61.00,3.12
62.00,3.14
63.00,3.11
64.00,3.12
Dummy output to prevent complier optimization: 487964928
